site_id,country,section,name,lat,lon,wetland_type,type_source,overlaps_protected_bold,designations,has_ramsar,has_flyway_network,pc1,rank,species_count,over_10pct,over_50pct,threatened,importance,page,applied_threshold,selected,reason
rf001,Bangladesh,Bangladesh,"Eastern Sundarbans, Khulna",22.0,89.7,coastal,inferred,True,,False,False,42.0,,3,True,False,CR,,11,1.0,True,PC1 42.0 ≥ 阈值 1.0
rf002,Bangladesh,Bangladesh,"Eastern Meghna Delta, Chittagong",22.47,91.27,coastal,inferred,True,,False,False,30.3,,4,True,False,"CR,EN",,11,1.0,True,PC1 30.3 ≥ 阈值 1.0
rf003,Bangladesh,Bangladesh,"Hatia Island (including Nijhum Dwip National Park), Chittagong",22.08,91.07,coastal,inferred,True,FR,True,True,16.9,,3,True,False,EN,,11,1.0,True,PC1 16.9 ≥ 阈值 1.0
rf004,Bangladesh,Bangladesh,"Tanguar Haor and Panabeel, Sylhet",25.13,91.03,inland,inferred,True,,False,False,16.2,,5,False,False,,,11,1.0,True,PC1 16.2 ≥ 阈值 1.0
rf005,Bangladesh,Bangladesh,"Hakaluki Haor , Sylhet",24.65,92.08,inland,inferred,True,F,False,True,7.6,,4,False,False,,,11,1.0,True,PC1 7.6 ≥ 阈值 1.0
rf006,Bangladesh,Bangladesh,"Sonadia Island , Chittagong",21.5,91.88,coastal,inferred,True,F,False,True,4.9,,2,False,False,CR,,11,1.0,True,PC1 4.9 ≥ 阈值 1.0
rf007,Bangladesh,Bangladesh,"Central Meghna Delta, Barisal",21.93,90.62,coastal,inferred,True,F,False,True,3.5,,3,False,False,,,12,1.0,True,PC1 3.5 ≥ 阈值 1.0
rf008,Bangladesh,Bangladesh,"Hail Haor (including Bakka Beel), Sylhet",24.37,91.68,inland,inferred,True,,False,False,1.1,,1,False,False,,,12,1.0,True,PC1 1.1 ≥ 阈值 1.0
rf009,Cambodia,Cambodia,"Prek Toal (part of Tonle Sap Biosphere Reserve), Battambang",13.12,103.65,coastal,inferred,True,,False,False,250.7,,5,False,True,"CR,EN",,12,1.0,True,PC1 250.7 ≥ 阈值 1.0
rf010,Cambodia,Cambodia,"Ang Tropeang Thmor (Sarus Crane Reserve), Siem Reap",13.82,103.31,inland,inferred,True,,False,False,33.3,,5,True,False,VU,,12,1.0,True,PC1 33.3 ≥ 阈值 1.0
rf011,Cambodia,Cambodia,"Boeung Prek Lapouv (Sarus Crane Reserve), Takeo",10.72,105.03,inland,inferred,True,F,False,True,30.4,,2,True,False,VU,,12,1.0,True,PC1 30.4 ≥ 阈值 1.0
rf012,Cambodia,Cambodia,"Anlung Pring (Sarus Crane Reserve), Kampot",10.48,104.53,inland,inferred,True,R,True,False,21.3,,2,True,False,VU,,12,1.0,True,PC1 21.3 ≥ 阈值 1.0
rf013,Cambodia,Cambodia,"Boeng Chhmar Ramsar Site, Kampong Thom",12.83,104.29,inland,inferred,True,,False,False,19.4,,3,True,False,EN,,13,1.0,True,PC1 19.4 ≥ 阈值 1.0
rf014,Cambodia,Cambodia,"Chi Kreng, Siem Reap",13.01,104.42,inland,inferred,True,,False,False,5.4,,2,False,False,VU,,13,1.0,True,PC1 5.4 ≥ 阈值 1.0
rf015,Cambodia,Cambodia,"Kulen Promtep Wildlife Sanctuary (Memey River), Preah Vihear",14.02,104.52,inland,inferred,True,R,True,False,4.7,,1,False,False,CR,,13,1.0,True,PC1 4.7 ≥ 阈值 1.0
rf016,Cambodia,Cambodia,"Koh Kapik (Peam Krasop Wildlife Sanctuary), Koh Kong",11.54,102.97,inland,inferred,True,,False,False,3.2,,2,False,False,EN,,13,1.0,True,PC1 3.2 ≥ 阈值 1.0
rf017,Cambodia,Cambodia,"Stoung, Kampong Thom",12.99,104.47,inland,inferred,False,,False,False,1.0,,1,False,False,VU,,13,1.0,True,PC1 1.0 ≥ 阈值 1.0
rf018,PRC,Liaoning Province,Yalu Jiang estuary,39.83,124.1,coastal,paper-section,True,,False,False,308.66,,31,True,True,"CR,EN,VU",,13,10.0,True,PC1 308.66 ≥ 阈值 10.0
rf019,PRC,Liaoning Province,Liaohe Estuary National Nature Reserve and Inner Gulf of Liaodong,40.9,121.78,coastal,paper-section,True,,False,False,272.71,,31,True,True,"CR,EN,VU",,14,10.0,True,PC1 272.71 ≥ 阈值 10.0
rf020,PRC,Liaoning Province,Zhuanghe coast,39.67,123.03,coastal,paper-section,True,FR,True,True,30.44,,11,False,False,"EN,VU",,15,10.0,True,PC1 30.44 ≥ 阈值 10.0
rf021,PRC,Liaoning Province,"Pulandian-Jinzhou east coast, including Changshan Islands",39.37,122.3,coastal,paper-section,True,,False,False,27.0,,6,False,False,EN,,15,10.0,True,PC1 27.0 ≥ 阈值 10.0
rf022,PRC,Liaoning Province,"Jinzhou Bay, Dalian",39.17,121.6,coastal,paper-section,True,,False,False,19.8,,2,False,False,,,16,10.0,True,PC1 19.8 ≥ 阈值 10.0
rf023,PRC,Hebei Province,Luannan-Zuidong coast,39.1,118.2,coastal,paper-section,True,,False,False,199.05,,22,True,True,"EN,VU",,16,10.0,True,PC1 199.05 ≥ 阈值 10.0
rf024,PRC,Hebei Province,Huanghua-Cangzhou coast,38.43,117.67,coastal,paper-section,True,,False,False,84.61,,30,False,False,"CR,EN,VU",,16,10.0,True,PC1 84.61 ≥ 阈值 10.0
rf025,PRC,Hebei Province,Laoting-Caofeidian coast,39.02,118.73,coastal,paper-section,True,,False,False,17.08,,8,False,False,EN,,17,10.0,True,PC1 17.08 ≥ 阈值 10.0
rf026,PRC,Tianjin Municipality,Tianjin coastal mudflats,38.92,117.75,coastal,paper-section,True,R,True,False,174.14,,34,True,True,"EN,VU",,18,10.0,True,PC1 174.14 ≥ 阈值 10.0
rf027,PRC,Tianjin Municipality,Beidagang Wetland Nature Reserve,38.75,117.38,coastal,paper-section,True,,False,False,81.19,,14,True,False,"CR,EN",,19,10.0,True,PC1 81.19 ≥ 阈值 10.0
rf028,PRC,Shandong Province,Yellow River Delta National Nature Reserve,37.97,118.97,coastal,paper-section,True,,False,False,595.48,,53,True,True,"CR,EN,VU",,19,10.0,True,PC1 595.48 ≥ 阈值 10.0
rf029,PRC,Shandong Province,Qingdao coast and Jiaozhou Bay,36.18,120.2,coastal,paper-section,True,,False,False,78.15,,13,True,False,"CR,EN,VU",,21,10.0,True,PC1 78.15 ≥ 阈值 10.0
rf030,PRC,Shandong Province,Laizhou Bay,37.1,119.4,coastal,paper-section,True,,False,False,24.16,,6,False,False,,,21,10.0,True,PC1 24.16 ≥ 阈值 10.0
rf031,PRC,Shandong Province,Wudi-Zhanhua-Hekou coast,38.13,118.2,coastal,paper-section,True,F,False,True,15.63,,6,False,False,"EN,VU",,21,10.0,True,PC1 15.63 ≥ 阈值 10.0
